Date;Sexe;Age;Rura;Card;Etud;pro;parent;parent2;Retraite;Regime_B;végétarien;diabétique;gluten;C_leg;C_frui;C_fec;C_lait;C_viaB;C_viaR;C_poi;C_indu;C_light;Pd_Frais;Crit_influe_C;Choix;Etiqt;Pub;5fj;5flj_p;reco;reco_P;A_patho;A_sante;Mangé_E;Repas;VF_Eq;VF_Su;VF_HO;VF_Fec;VF_soir;VF_saut;VF_Eq_Reg;VF_Eq_bon;VF_medi;pdp;modif;info;momnt;Qst;diét
2021-11-22 22:31:56.809;Femme;35-60;Citad;Sud;Bac+3;Salarié;;;;Non;False;False;False;1 x par jour;A tous les repas;3 x par semaine;A tous les repas;5 x par semaine;1 x par semaine;1 x par semaine;Très rarement;1 x par semaine;Oui;Santé;Je regarde la provenance du produit;Presence de lipides sucres colorants et produits chimiques exxx;Non;J'esaye d'appliquer;;Oui;Le moins industriel possible;Oui;Oui;Equilibre proteines fruits legumenfeculentblegumineuses;Poulet legumes pommes de terre yaourt fruit;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Enlever le sucre ajoute;Viande industrielles ;Non;;;Cher
2021-11-22 22:33:39.123;Femme;35-60;Rural;Sud;Bac+3;Salarié;;;;Non;False;False;False;1 x par jour;1 x par jour;1 x par jour;3 x par semaine;1 x par semaine;1 x par semaine;1 x par semaine;Très rarement;Jamais;Oui;Santé;Je regarde la provenance du produit;;Non;Oui je connais;;Oui;Moins de sucre, moins de gras ;Oui;Oui;De tout en quantité raisonnable ;un potage aux légumes frais, une protéine animale, un fromage,  un fruit ;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Réduire les quantités et le sucre .;Perdre un peu de poids pour limiter les crises d’arthrose.;Non;;;Parce qu’ils savent ce qu’il faut manger et ne pas manger 
2021-11-22 22:34:27.346;Femme;18-34;Rural;Sud;Bac;Etudiant;Salarié;;;Non;False;False;False;1 x par semaine;1 x par semaine;A tous les repas;1 x par jour;3 x par semaine;1 x par semaine;Très rarement;A tous les repas;1 x par semaine;Non;Gout, Le prix;Je regarde le prix;;Non;Oui je connais, Je n'applique pas;Trop dure lol;Oui;Évitez de manger trop gras trop sucré trop salé ;Oui;Oui;Évitez le grignotage ;Jsp;Non;Oui;Non;Non;Oui;Non;Non;Non;Oui;Rééquilibrage alimentaire ;Non;Oui;;;Car ils sont pas prêt et motivé 
2021-11-22 22:34:45.981;Femme;18-34;Citad;Sud;Bac+3;Etudiant;Salarié;;;Oui;True;False;False;5 x par semaine;Très rarement;5 x par semaine;Jamais;Jamais;Jamais;Jamais;1 x par semaine;Jamais;Oui;Gout;Je regarde le prix, Je regarde la provenance du produit;;Non;Oui je connais, Je n'applique pas;je saute souvent des repas ce qui rend l'application difficile (ps: vous auriez p-ê du ajouter une variable concernant les personnes présentant des TCA car ça influe bcp sur certaines réponses, et donc sur les résultats que vous obtiendrez);Oui;ne pas consommer trop de viande, ne pas consommer de fruit en fin de repas (variable selon les gens/repas), se supplémenter en B12 en cas de régime végéta*ien;Oui;Oui;manger à sa faim en essayant de varier les aliments sans trop se restreindre (si besoin/volonté de perdre du poids, plutot un rééquilibrage qu'un régime);chili sin carne, riz, avocat;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;essayer de prendre au moins 2 repas par jour, si possible à heure +- fixe en faisant attention à bien répartir les proportions légumes/féculents/protéines;/;Non;;;le prix, le manque de motivation, le manque de professionnels formés pour les personnes ayant un régime alimentaire particulier
2021-11-22 22:35:04.275;Femme;18-34;Rural;Sud;Bac +5;Etudiant;Salarié;;;Non;False;False;False;1 x par jour;1 x par jour;3 x par semaine;3 x par semaine;1 x par semaine;1 x par semaine;1 x par semaine;1 x par semaine;1 x par semaine;Oui;Gout, Santé;Je regarde le prix;;Non;Oui je connais, J'esaye d'appliquer;;Oui;L’alcool avec modération ;Oui;Oui;Manger varié, de saison le plus possible, des fruits et légumes frais ;Purée de patate douce et poisson ;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Réduire les quantités ;Moins de viande (raison de prix et de conscience environnementale);Non;;;Trop cher et peu efficace
2021-11-22 22:38:10.919;Femme;35-60;Rural;Sud;Bac+3;Salarié;;;;Non;False;False;False;1 x par jour;3 x par semaine;3 x par semaine;Très rarement;3 x par semaine;1 x par semaine;Très rarement;Très rarement;Très rarement;Oui;Gout, Santé;Je regarde le prix;;Non;Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;Manger quand on a faim;Boudin salade boulgour;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Plus d'apéro;Non;Oui;;;Le prix de la consultation
2021-11-22 22:38:42.530;Femme;18-34;Citad;Sud;Bac +5;Profession libérale;;;;Oui;False;False;False;A tous les repas;Très rarement;1 x par jour;3 x par semaine;Très rarement;3 x par semaine;3 x par semaine;1 x par jour;1 x par jour;Oui;Santé, Le prix;Je me fie à l'attrait du marketing, Je regarde le prix;;Non;Oui je connais, Je n'applique pas;;Non;;Oui;Oui;Manger à sa faim, ne pas grignoter, et trouver l’équilibre entre légumes et féculents et protéines ;Un quart de l’assiette féculent, un quart protéines, et la moitié restante légumes ;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Réduire un peu les quantités car je pense que le problème est que nous mangeons trop ;Je mange moins de viande car je n’y vois pas tant d’intérêt et j’aime les animaux. ;Oui;;;Manque d’argent ou d’informations sur ce qu’il peut leur apporter 
2021-11-22 22:40:50.182;Homme;18-34;Citad;Sud;Bac+3;Chomeur;;;;Oui;False;False;False;A tous les repas;5 x par semaine;A tous les repas;Très rarement;1 x par semaine;1 x par semaine;1 x par semaine;1 x par jour;Jamais;Oui;Gout;Je regarde l'étiquette nutritionelle;Glucides, dont sucre, lipides donc saturé, sels, éléments étranges ;Produits industriels (plat cuisiné, dessert, boisson sucré, biscuit apéritif ou sucré);J'esaye d'appliquer;Je ne mange pas assez de fruit;Oui;Boire 1,5/2L par jours;Oui;Oui;Le moins possible de produit transformer. Cuisiner sois même des aliments frais. Faire des repas équilibré.;Entrée : Soupe, plat: pâtes avec oignons courgette champignons et poulet. Dessert : clémentine chocolats ;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Déficit calorique, sans provoquer de carences. Les lipides restent essentiels même en cas de régimes;Réductions de la viandes pour une raison écologique ;Oui;;;Refus d’admettre qu’il faut se faire aider. Pense connaître comment établir leurs équilibrage alimentaires. Ne vois pas l’utilité d’un diététicien 
2021-11-22 22:42:44.095;Femme;18-34;Citad;Sud;Bac +5;Etudiant;Salarié;;;Oui;False;False;False;A tous les repas;Très rarement;5 x par semaine;1 x par jour;1 x par semaine;Très rarement;1 x par semaine;1 x par jour;Jamais;Oui;Gout, Le prix;Je regarde le prix;;Non;Je n'applique pas;C’est beaucoup trop sur seulement 3 repas par jour ;Oui;Produits laitiers = calcium ;Oui;Oui;Variés les repas, éviter les grignotages entre les repas, boire beaucoup d’eau et éviter les éléments telps gras/trop sucrés/trop salés;Curry de lentilles corail-carrottes-poid chiches-tofu avec du riz;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Je boirais plus d’eau et je mangerais moins de gâteaux;Non;Oui;;;Parce que ça demande des concessions et qu’ils aiment rester dans leur confort
2021-11-22 22:43:01.256;Homme;18-34;Citad;Sud;Bac +5;Etudiant;Profession libérale;;;Non;False;False;False;A tous les repas;1 x par jour;A tous les repas;A tous les repas;5 x par semaine;5 x par semaine;5 x par semaine;5 x par semaine;5 x par semaine;Oui;Gout;Je regarde l'étiquette nutritionelle;Sucre rapide, acide gras saturé  ,protéines ;Non;Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;Des produits non transformés,  variés ;Pâte bolo maison ( carotte, oignon, ail, tomate, celeri, thym, laurier , boeuf et veau );Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Je mangerais moins de sucre rapide et acide gr1s saturé ;Moins de viande pour la planète, moins de produits transformés,  protéine végétale pour le sport;Oui;;;Parce qu on ne ressent pas directemebt les effets d une malnutrition, on ressent l effet d une maladie du aux mauvaise habitudes alimentaires
2021-11-22 22:43:31.865;Femme;18-34;Citad;Sud;Bac+3;Etudiant;Salarié;Artisan;;Non;False;False;False;A tous les repas;1 x par jour;1 x par jour;1 x par jour;1 x par semaine;1 x par semaine;1 x par semaine;Très rarement;Très rarement;Oui;Gout, Le prix;Je regarde le prix;;Oui, Produit laitier;Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;Manger un repas sain composé de protéines (végétales ou animales), féculents et légumes avec un produit laitier et/ou un fruit en dessert ;Légumes, féculents (pâtes, riz, pommes de terre), poulet ou steak haché, fromage blanc ;Non;Oui, Non;Oui;Non;Non;Non;Non;Non;Non;Je réduirais les sauces et autres aliments gras qui rajoutent seulement du goût mais ne sont pas nécessaires au repas;Je modifie ma consommation de viande par souci financier;Oui;;;La crainte d’être jugé, le fait de se dire qu’il y a un problème si on en voit un, ne pas savoir si c’est remboursé ou non, le coût du rdv 
2021-11-22 22:46:58.831;Femme;18-34;Citad;Sud;Bac+3;Etudiant;;;;Non;False;False;False;A tous les repas;1 x par semaine;5 x par semaine;1 x par jour;3 x par semaine;5 x par semaine;1 x par semaine;3 x par semaine;1 x par semaine;Oui;Gout, Le prix;Je regarde l'étiquette nutritionelle, Je regarde le prix;la lettre a b c d e;Non;Oui je connais, J'esaye d'appliquer;;Oui;manger bouger . fr;Oui;Oui;c’est un plat complet avec tout nutriment nécessaire au corps humain(fer, calcium…);lentilles saucisses ;Oui;Oui;Oui, Non;Non;Non;Non;Non;Non;Oui, Non;plus manger entre les repas;non;Oui;;;non
2021-11-22 22:48:03.797;Femme;18-34;Citad;Sud;Bac+3;Salarié;;;;Non;False;False;False;A tous les repas;5 x par semaine;1 x par jour;5 x par semaine;1 x par jour;1 x par semaine;1 x par semaine;3 x par semaine;Jamais;Oui;Gout, Santé;Je regarde le prix, Je regarde la provenance du produit;Présence d'huile de palme (rédhibitoire);Non;Oui je connais, J'esaye d'appliquer;;Oui;Ne mange pas trop gras, trop sucré, trop salé;Oui;Oui;Manger varié, de tous les groupes d'aliments plus ou moins tous les jours;Riz, aiguillettes de poulet, courgettes, oignons, graines de courge, crème fraiche légère, curry, sel, poivre;Non;Oui;Oui;Non;Oui;Oui;Non;Non;Oui;Manger de plus petites portions, ne pas se resservir;Acheter bio, acheter local quand j'ai le temps d'aller au marché;Oui;;;Pas remboursé pas la sécu? Pas couvert par la mutuelle? Parce qu'ils ne veulent pas que quelqu'un puisse objectiver leur échec de changement (seraient davantage confrontés à leur échec?) Parce qu'ils n'y songent pas? Parce qu'ils ne connaissent pas la différence entre diététicien, nutritionniste, naturopathe etc.
2021-11-22 22:48:17.462;Homme;18-34;Rural;Sud;Bac;Etudiant;Profession libérale;;;Non;False;False;False;A tous les repas;A tous les repas;A tous les repas;1 x par jour;3 x par semaine;1 x par semaine;3 x par semaine;Jamais;Jamais;Oui;Santé;Je regarde l'étiquette nutritionelle;Le taux matière grasses ;Non;Oui je connais;;Oui;Manger de la viande 3 fois par semaine ;Oui;Oui;Manger peu de viandes et manger légumes féculents ;"100g de ratatouille ; 100g de riz ; 50g de poulet et une pomme ";Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Faire du sport ! Donc rajouter de l’eau faut boire et également du thé pour detoxifier …;Je suis Sportif de haut niveau ( Staps Bdx) donc avant les compétitions je dois perdre du poids avant la compétition mais en mangeant des aliments consistants;Oui;;;Problème d’argent ou les gens ne se rendent pas compte de leur problème 
2021-11-22 22:49:10.439;Femme;18-34;Citad;Sud;Bac+3;Etudiant;;;;Non;False;False;False;A tous les repas;1 x par jour;1 x par jour;5 x par semaine;1 x par semaine;3 x par semaine;3 x par semaine;Très rarement;Jamais;Oui;Gout, Le prix;Je regarde le prix, Je regarde la provenance du produit;;Non;Oui je connais, J'esaye d'appliquer;;Oui;pas trop de gluten;Oui;Oui;Manger de tout;poivrons et courgettes, merlu, yaourt;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Manger en plus petite quantité;Oui, moins de viande pour la planète;Non;;;Par peur du jugement/à cause du prix
2021-11-22 22:49:53.963;Homme;18-34;Citad;Sud;Bac;Etudiant;Salarié;;;Non;False;False;False;3 x par semaine;Très rarement;5 x par semaine;3 x par semaine;3 x par semaine;3 x par semaine;Très rarement;5 x par semaine;Très rarement;Oui;Gout, Le prix;Je regarde l'étiquette nutritionelle, Je regarde le prix;Kcal/100g principalement et taux de sucre;Non;Oui je connais;Budget pas assez conséquent;Oui;Boire environ 2L/jour;Oui;Oui;Trouver un équilibre entre toutes les sources d'apports nutritionnels;C'est souvent des pâtes donc non équilibré;Oui, Non;Oui;Non;Non;Oui;Oui, Non;Oui, Non;Oui;Oui, Non;Sauté un repas ou passé sur un jeun intermittent;Pas spécialement;Oui;;;C'est onéreux
2021-11-22 22:50:08.898;Homme;18-34;Rural;Sud;Bac+3;Etudiant;Cadre;;;Non;False;False;False;5 x par semaine;3 x par semaine;1 x par jour;3 x par semaine;3 x par semaine;3 x par semaine;1 x par semaine;Très rarement;Très rarement;Non;Gout, Le prix;Je regarde le prix;;Non;J'esaye d'appliquer;;Non;;Oui;Oui;Quantité, provenance et diversité ;Féculent légumes protéine produit laitier et fruit ;Non;Non;Non;Non;Non;Non;Non;Non;Non;Diminuer les quantités ;Non ;Non;;;Le prix ou la motivation 
2021-11-22 22:51:08.692;Femme;18-34;Citad;Sud;Bac +5;Salarié;;;;Non;False;False;False;A tous les repas;1 x par jour;3 x par semaine;3 x par semaine;1 x par semaine;Très rarement;1 x par semaine;3 x par semaine;Jamais;Oui;Gout;Je regarde le prix;;Non;Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;Bien-être physique et mental;quinoa, brocolis, carottes, oignons, feta, oeuf;Non;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Manger plus de légumes;Suivre la saisonnalité des produits (pas toujours évident);Oui;;;Le côut je suppose, il ne me semble pas que ce soit prise en charge par la sécu, à voir selon les mutuelles. Si le problème n'est pas grave, je pense que beaucoup pensent pouvoir le gérer tout seul. Internet permet aux gens de se renseigner sans forcément passer par des professionnels.
2021-11-22 22:51:13.577;Femme;18-34;Citad;Sud;Bac+3;Salarié;;;;Non;False;False;False;5 x par semaine;1 x par semaine;5 x par semaine;Très rarement;3 x par semaine;1 x par semaine;1 x par semaine;Très rarement;Jamais;Oui;Gout;Je regarde le prix;;Non;J'esaye d'appliquer;;Non;;Oui;Oui;Alterner les types de plats, viandes, féculents. Ne pas manger entre les repas, manger à sa faim et pas plus;Poke bowl (riz, sauce soja sucrée, demi avocat, 1 tomate, 1/4 concombre, saumon et un peu de fromage à tartiner) ;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Manger plus de légumes, moins de sauces ;Non;Oui;;;L'argent 
2021-11-22 22:52:16.945;Femme;18-34;Rural;Sud;Bac +5;Etudiant;Cadre;;;Non;False;False;False;A tous les repas;1 x par jour;3 x par semaine;1 x par jour;3 x par semaine;1 x par semaine;1 x par semaine;1 x par semaine;Jamais;Oui;Gout;Je regarde l'étiquette nutritionelle, Je regarde la provenance du produit;La composition ;Non;Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;Protéines végétales et animales, légumes, un peu de féculents, fruits, produits laitiers ;Épinards riz poisson compote ;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Pas de grignotage, limiter les repas lourds le soir;Augmentation de la quantité de protéines végétales pour manger moins de viande mais que de bonne qualité ;Oui;;;Pas le temps, où on n’y pense pas, coûteux 
2021-11-22 22:53:12.328;Femme;18-34;Rural;Sud;Bac+3;Chomeur;;;;Non;False;False;False;A tous les repas;5 x par semaine;A tous les repas;Très rarement;Très rarement;Très rarement;Très rarement;Jamais;Jamais;Oui;Gout;Je regarde la provenance du produit;Je ne la regarde pas vraiment mais essaye de consommer responsable;Non;Oui je connais, J'esaye d'appliquer;;Oui;Les produits laitiers sont nos amis pour la vie . Gros big up aux lobby su lait;Oui;Oui;C'est manger des aliments qui sont bon bon et nécessaire a notre bonne santé et pas des graisses saturées cancérigènes;Un bon couscous vegetarien avec pour les gourment un bout d'agneau pour le gout. Mais sinon juste un filet d'huile d'olive avant de mettre des oignons dans le fetout et un filet dans la semoule. Du jus des legumes miamm.(pois chiche pour les protéines);Non;Oui;Non;Non;Oui;Non;Non;Oui;Non;Je veux pas perdre du poid. Mais je ferais a max de sport pour éliminer les burger que je mange en contrepartie. Sinon respecter les dose et l'espacement entre les repas deja mais sans trop se priver sinon on se sentiras mal;Je mange peu de viande 1 fois toute les deux semaine (ou plus si j'en ai envie)  mais j'essaye de réguler ma consommation et d'acheter en petite boucherie ariégeoises lorsque je le peux. ;Oui;;;Parce que c'est cher et que bcp d'information sont disponibles dans la littérature. De plus bcp de gens ne font pas du tout attention ils ne se rendent pas compte qu'ils deviennent ce qu'ils mengent. Tu mange mal = tu es mal dans ta peau tu est fatigué etc.. 
2021-11-22 22:53:14.378;Homme;18-34;Citad;Sud;Bac +5;Etudiant;;;;Non;False;False;False;3 x par semaine;5 x par semaine;A tous les repas;5 x par semaine;1 x par semaine;3 x par semaine;Jamais;3 x par semaine;Jamais;Oui;Gout, Le prix;Je regarde l'étiquette nutritionelle, Je regarde le prix;La provenance et la qualité (selon le produit);Non;Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;Decouvrir de nouvelles saveurs & de nouvelles recettes;Pas du tout équilibré, c’est souvent la même chose, bien que je m’en lasse pas ;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;SURTOUT avoir une alimentation plus variée, on découvre des nouvelles choses ou alors de nouvelles façon de préparer les aliments que l’on connaît ;Une plus grosse variété de fruits et légumes mais en vérifiant la provenance ;Oui;;;Question de moyen en premier lieu, c’est surtout qu’il n’y a aucune grosse sensibilisation à ce niveau. Je commence à vraiment prendre au sérieux mon alimentation mais je n’ai aucune idée des carences que je pourrais avoir (et ses conséquences par cette non connaissance)
2021-11-22 22:53:38.885;Femme;35-60;Citad;Sud;Bac+3;Cadre;;;;Non;False;False;False;3 x par semaine;1 x par jour;1 x par jour;5 x par semaine;3 x par semaine;1 x par semaine;1 x par semaine;1 x par semaine;1 x par semaine;Oui;Gout, Santé;Je regarde l'étiquette nutritionelle, Je regarde la provenance du produit;Glucides, calories / 100gr;Non;Oui je connais, J'esaye d'appliquer;;Oui;Manger, bouger ! Pas d’aliments trop sucrés trop salés !;Oui;Oui;De tout en quantité raisonnable ;Steak haché 5% pdt vapeur , salade verte ou tomate, compote ou fruit ou skyr nature  ;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui;Diminuer le gras et lipides + quantités ;Sucre pour le tour de taille et aspect peau ;Oui;;;Internet est là et souvent elles sont onéreuses, c’est long et standardisé 
2021-11-22 22:54:21.418;Femme;18-34;Rural;Sud;Bac;Salarié;;;;Non;False;False;False;A tous les repas;A tous les repas;A tous les repas;Très rarement;3 x par semaine;Très rarement;3 x par semaine;1 x par semaine;Jamais;Oui;Santé;Je regarde l'étiquette nutritionelle, Je regarde le prix;Calories ;Non;Oui je connais;;Non;;Oui;Oui;Pas trop gras pas trop sucré et pas trop salé ;Féculents /légume/protéines à chaque repas en quantité raisonnable ;Oui;Oui;Oui;Non;Oui;Non;Non;Non;Non;Moins d’excès le week end;Non;Oui;;;Peur d’un régime trop strict ou consultation cher 
2021-11-22 22:57:13.921;Femme;18-34;Citad;Sud;Bac+3;Etudiant;Salarié;;;Oui;False;False;False;1 x par jour;1 x par jour;1 x par jour;1 x par jour;3 x par semaine;1 x par semaine;1 x par semaine;Très rarement;Très rarement;Oui;Santé;Je regarde la provenance du produit;;Non;Oui je connais, J'esaye d'appliquer;;Oui;Les produits laitiers sont nos amis pour la vie;Oui;Oui;Une quantité raisonnable de chaque type d’aliments;Pâtes carbonara avec de la salade;Non;Oui;Non;Non;Oui;Non;Non;Non;Oui;Manger en quantité plus équilibrée ;Non;Oui;;;Méconnaissance 
2021-11-22 22:58:21.232;Femme;18-34;Citad;Sud;Bac+3;Etudiant;Cadre;;;Oui;True;False;False;A tous les repas;5 x par semaine;5 x par semaine;1 x par semaine;Jamais;Jamais;Très rarement;Très rarement;Jamais;Oui;Santé, Le prix;Je regarde l'étiquette nutritionelle, Je regarde le prix;Kcal, si taux sucre trop élevé, si présence de E... ;Non;Oui je connais, J'esaye d'appliquer;;Oui;Pas trop gras trop salé trop sucré, 1/3 fibre 1/3 protéines 1/3 féculents ;Oui;Oui;Fait maison, varié, avec des plaisirs et le plus possible avec des produits bruts ;Une salade de maïs pois chiches tomates assaisonnée avec huile de lin, poivre, ail persil, 2 clémentines et un bout de fromage avec une tranche de pain;Non;Oui;Non;Non;Oui;Non;Non;Non;Oui;Diminuer les sucres rapides, manger plus de légumes ;Pas de viande car trop néfaste pour la santé et l'écologie ;Non;;;Pense pouvoir régler leur tca eux-mêmes ou sont dans le déni 
2021-11-22 22:58:49.852;Femme;18-34;Citad;Sud;Bac +5;Etudiant;Salarié;;;Non;False;False;False;A tous les repas;3 x par semaine;5 x par semaine;1 x par jour;3 x par semaine;1 x par semaine;Très rarement;A tous les repas;1 x par semaine;Oui;Le prix;Je regarde le prix;;Oui, Produits industriels (plat cuisiné, dessert, boisson sucré, biscuit apéritif ou sucré);Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;Manger des produits bruts, le moins transformé et industriel possible, avec une répartition des classe d’aliments et des totaux protéine/glucides/lipides (sodium etc.) qui respectent les besoins nutritionnels. ;Salade, omelette au fromage, pain ou pâtes, fruit ;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Réduire les grignotages, produits transformés, Manger plus de produits bruts et moins de sucre industriels ;Parfois bio pour la santé. Limiter les gâteaux industriels et autres produits transformés pour les effets nocifs et addictifs sur la santé ;Oui;;;Pas assez de budget, suivi onéreux.
2021-11-22 23:00:57.302;Homme;35-60;Rural;Sud;Bac;Salarié;;;;Oui;False;True;False;1 x par jour;1 x par jour;5 x par semaine;A tous les repas;5 x par semaine;3 x par semaine;3 x par semaine;1 x par semaine;Jamais;Oui;Gout;Je regarde le prix;;Oui, Produit laitier;Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;Manger de tout;Salade poisson feculent dessert;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Moins de viande grasse;Moins de sucre;Non;;;Argent
2021-11-22 23:01:07.915;Femme;18-34;Citad;Sud;Bac+3;Etudiant;Salarié;;;Non;False;False;False;5 x par semaine;3 x par semaine;5 x par semaine;1 x par semaine;1 x par semaine;1 x par semaine;1 x par semaine;3 x par semaine;Jamais;Oui;Gout, Le prix;Je regarde le prix, Je regarde la provenance du produit;;Non;Oui je connais, J'esaye d'appliquer;;Oui;Les produits laitiers sont nos amis pour la vie;Oui;Oui;N'abuser de rien, penser aux fruits et legumes ;Salade, riz legumes huile de sesame soja, fruit ou yahourt ;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Arreter les sucres ajoutes;Non;Oui;;;Mdr argent ??
2021-11-22 23:01:53.125;Femme;18-34;Citad;Sud;Bac+3;Etudiant;Salarié;;;Non;False;False;False;A tous les repas;1 x par jour;3 x par semaine;1 x par semaine;3 x par semaine;3 x par semaine;3 x par semaine;Très rarement;1 x par semaine;Oui;Santé;Je regarde l'étiquette nutritionelle, Je regarde la provenance du produit;Additifs, sucre, matières grasses ;Non;Oui je connais, J'esaye d'appliquer;;Non;;Oui;Oui;Privilégier le fait maison ;Légumes sautés, riz et poisson;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Sucre;Sucre et additifs, gros dégâts sur notre santé sur le long terme ;Oui;;;Une charge financière en plus 
2021-11-22 23:03:46.374;Femme;35-60;Rural;Sud;Bac;Chomeur;;;;Oui;False;True;False;A tous les repas;1 x par jour;A tous les repas;1 x par jour;3 x par semaine;1 x par semaine;3 x par semaine;Jamais;Très rarement;Oui;Santé;Je regarde l'étiquette nutritionelle;Les ingrédients, les apports, si sucré, ;Oui, Eau, viande, poisson frais, salade, Autres;Oui je connais, J'esaye d'appliquer;;Oui;Moins de sel, peu sucré, sans colorant, sans additif,.. ;Oui;Oui;Légumes crus et cuits, féculents, protéines, laitages, fruits;Crudités, légumes cuits, féculents, laitage nature et fruits en dehors des repas;Non;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Je ne sais pas ;La prise de fruits en dehors des repas mieux pour la digestion;Oui;;;Peur de devoir modifié leur façon de manger 
2021-11-22 23:05:08.079;Homme;18-34;Citad;Sud;Bac +5;Etudiant;;;;Non;False;False;False;Jamais;Très rarement;1 x par jour;3 x par semaine;3 x par semaine;5 x par semaine;1 x par semaine;5 x par semaine;Jamais;Non;Gout, Le prix;Je regarde le prix;;Non;Oui je connais, Je n'applique pas;Trouble alimentaire concernant les légumes ;Non;;Oui;Oui;Ne pas trop / pas assez manger, diversifier l'alimentation;Tomates Pâtes poulet;Oui;Non;Oui;Oui;Non;Non;Oui;Non;Non;Diminuer les kcal;Non;Oui;;;Manque de temps/d'argent/d'information
2021-11-22 23:12:08.649;Femme;18-34;Citad;Sud;Bac+3;Salarié;;;;Non;False;False;False;3 x par semaine;Très rarement;A tous les repas;1 x par jour;Très rarement;1 x par semaine;Jamais;1 x par semaine;Jamais;Oui;Gout, Santé;Je regarde le prix;;Non;Oui je connais, Je n'applique pas;Je mange peu de légumes et c’est devenu une habutude;Oui;Pas trop gras, trop salé et trop sucré;Oui;Oui;Varier les viandes, les féculents, les fruits et légumes consommés ;Je n’ai pas de repas habituel « équilibré) ;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Manger plus de légumes et réduire les féculents ;Manger moins gras ;Non;;;Par manque d’information/ peu de diététiciens/ peu connu / cher
2021-11-22 23:13:35.224;Femme;18-34;Citad;Sud;Bac+3;Etudiant;Cadre;;;Non;False;False;False;A tous les repas;1 x par jour;5 x par semaine;3 x par semaine;Très rarement;Très rarement;Très rarement;1 x par semaine;Jamais;Oui;Gout;Je regarde l'étiquette nutritionelle;Ingrédients, taux de sucre ;Non;Oui je connais, J'esaye d'appliquer;;Oui;Équilibre proteine, lipides et glucides ;Oui;Oui;Manger varié, de saison, se faire plaisir, cuisiner des plats maison ;Dhal de lentilles corail, patates douces et riz blanc ;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui;Manger moins de sucres ajoutés ;Je suis satisfaite de mon alimentation actuelle ;Oui;;;Honte, volonté de vouloir s'en sortir seul.e, prix des consultations, manque de temps ou de réelle motivation
2021-11-22 23:15:00.975;Femme;18-34;Citad;Nord;Bac +5;Chomeur;;;;Non;False;False;False;5 x par semaine;Très rarement;3 x par semaine;1 x par jour;3 x par semaine;Très rarement;1 x par semaine;3 x par semaine;Jamais;Oui;Santé, Le prix;Je regarde l'étiquette nutritionelle, Je regarde le prix;Gras et sucre;Non;Oui je connais, J'esaye d'appliquer;Prix des fruits élevé et pas forcément de France;Oui;Ne mange pas trop gras, trop sucré, trop salé;Oui;Oui;Varier le plus possible, manger des quantités raisonnables;Poisson pané, citron et conserve de ratatouille;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Réduire la quantité des produits laitiers (fromages) et les gâteaux (goûter);Lait remplacé par du lait d'avoine car plus digeste;Non;;;Par gêne/honte ou méconnaissance (prix, accès)
